Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
3456,Merchant Express Aviation,null,,MXX,MERCHANT,Nigeria,N
3457,Mercury Aircourier Service,null,,MEC,MERCAIR,United States,N
3458,Meridian,null,,POV,AIR POLTAVA,Ukraine,N
3459,Meridian Air Cargo,null,,MRD,MERIDIAN,United States,N
3460,Meridian Airlines,null,,MHL,HASSIMAIR,Nigeria,N
3461,Meridian Aviation,null,,DSL,DIESEL,United Kingdom,N
3462,Meridian Limited,null,,MEM,MERIDIAN CHERRY,Ukraine,N
3463,Meridiana,null,IG,ISS,MERAIR,Italy,Y
3464,Merlin Airways,null,,MEI,AVALON,United States,N
3465,Merpati Nusantara Airlines,null,MZ,MNA,MERPATI,Indonesia,Y
3466,Mesa Airlines,null,YV,ASH,AIR SHUTTLE,United States,Y
3467,Mesaba Airlines,null,XJ,MES,MESABA,United States,Y
3468,Meta Linhas A,null,,MSQ,META,Brazil,N
3469,Meteorological Research Flight,null,,MET,METMAN,United Kingdom,N
3470,Methow Aviation,null,,MER,METHOW,United States,N
3471,Metro Business Aviation,null,,MVI,,United Kingdom,N
3472,Metro Express,null,,MEX,EAGLE EXPRESS,United States,N
3473,Metroflight,null,,MTR,METRO,United States,N
3474,Metrojet,null,,MTJ,METROJET,Hong Kong SAR of China,N
3475,Metropix UK,null,,PIX,METROPIX,United Kingdom,N
3476,Metroplis,null,,MPS,METRO REGIONAL,Netherlands,N
3477,Mex Blue,null,,MXB,MEX BLUE,Mexico,N
3478,Mex-Jet,null,,MJT,MEJETS,Mexico,N
3479,Mexicana de Aviaci,null,MX,MXA,MEXICANA,Mexico,Y
3480,Mexico Transportes Aereos,null,,MXT,TRANSMEX,Mexico,N
3481,Miami Air Charter,null,,HUR,HURRICANE CHARTER,United States,N
3482,Miami Air International,null,GL,BSK,BISCAYNE,United States,N
3483,Miami Valley Aviation,null,,OWL,NIGHT OWL,United States,N
3484,Miapet-Avia,null,,MPT,MIAPET,Armenia,N
3485,Michelin Air Services,null,,BIB,,France,N
3486,Micromatter Technology Solutions,null,,WIZ,WIZARD,United Kingdom,N
3487,Mid Airlines,null,,NYL,NILE,Sudan,N
3488,Mid-Pacific Airlines,null,,MPA,MID PAC,United States,N
3489,Midamerica Jet,null,,MJR,MAJOR,United States,N
3490,Middle East Airlines,null,ME,MEA,CEDAR JET,Lebanon,Y
3491,Midland Airport Services,null,,MID,,United Kingdom,N
3492,Midline Air Freight,null,,MFR,MIDLINE FREIGHT,United States,N
3493,Midstate Airlines,null,,MIS,MIDSTATE,United States,N
3494,Midway Airlines,null,JI,MDW,MIDWAY,United States,Y
3495,Midway Express,null,,FLA,PALM,United States,N
3496,Midwest Air Freighters,null,,FAX,FAIRFAX,United States,N
3497,Midwest Airlines,null,YX,MEP,,United States,Y
3498,Midwest Airlines (Egypt),null,MY,MWA,,Egypt,Y
3499,Midwest Aviation,null,,NIT,NIGHTTRAIN,United States,N
3500,Midwest Aviation Division,null,,MWT,MIDWEST,United States,N
3501,Midwest Helicopters De Mexico,null,,HTE,HELICOPTERSMEXICO,Mexico,N
3502,Millardair,null,,MAB,MILLARDAIR,Canada,N
3503,Millen Corporation,null,,RJM,MILLEN,United Kingdom,N
3504,Millennium Air,null,,MLK,NIGERJET,Nigeria,N
3505,Miller Flying Services,null,,MFS,MILLER TIME,United States,N
3506,Million Air,null,,OXO,MILL AIR,United States,N
3507,Mimino,null,,MIM,MIMINO,Russia,N
3508,Mina Airline Company,null,,NAB,,Egypt,N
3509,Minair,null,,OMR,ORMINE,Central African Republic,N
3510,Minebea Technologies,null,,EBE,MINEBEA,United States,N
3511,Mines Air Services Zambia,null,,MAZ,MINES,Zambia,N
3512,Miniliner,null,,MNL,MINILINER,Italy,N
3513,Ministic Air,null,,MNS,MINISTIC,Canada,N
3514,Ministry of Agriculture,null,,WDG, Fisheries and Food,WATCHDOG,N
3515,Minsk Aircraft Overhaul Plant,null,,LIR,LISLINE,Belarus,N
3516,Miramichi Air Service,null,,MIR,MIRAMICHI,Canada,N
3517,Miras,null,,MIF,MIRAS,Kazakhstan,N
3518,Misr Overseas Airways,null,,MOS,,Egypt,N
3519,Mission Aviation Fellowship,null,,MAF,MISSI,Indonesia,N
3520,Missionair,null,,MSN,MISIONAIR,Spain,N
3521,Missions Gouvernemtales Francaises,null,,MRN,MARIANNE,France,N
3522,Mississippi State University,null,,BDG,BULLDOG,United States,N
3523,Mississippi Valley Airways,null,,MVA,VALAIR,United States,N
3524,Mistral Air,null,,MSA,AIRMERCI,Italy,N
3525,Mobil Oil,null,,MBO,MOBIL,Canada,N
3526,Mocambique Expresso,null,,MXE,MOZAMBIQUE EXPRESS,Mozambique,N
3527,Mofaz Air,null,,MFZ,MOFAZ AIR,Malaysia,N
3528,Moldaeroservice,null,,MLE,MOLDAERO,Moldova,N
3529,Moldavian Airlines,null,2M,MDV,MOLDAVIAN,Moldova,Y
3530,Moldova,null,,MVG,MOLDOVA-STATE,Moldova,N
3531,Mombasa Air Safari,null,,RRV,SKYROVER,Kenya,N
3532,Monarch Airlines,null,ZB,MON,MONARCH,United Kingdom,Y
3533,Monarch Airlines,null,,MNH,MONARCH AIR,United States,N
3534,Myway Airlines,null,8I,,,Italy,Y
